,serial_number,countries,total_cases,new_cases,total_death,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_test_permillion,total_pop
130,123,Jamaica,152758,,"3,461",,"101,951",,"47,346",,"51,174","1,159","1,183,986","396,633"
61,54,Norway,1474030,,"4,571",,"1,466,182",,"3,277",20,"267,453",829,"11,002,430","1,996,315"
62,55,Finland,1438205,,"7,933",,"1,404,093","+1,521","26,179",21,"258,905","1,428","11,930,917","2,147,795"
230,223,Montserrat,1403,,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442"
63,56,Kazakhstan,1402049,+175,"13,694",,"1,383,020",,"5,335",24,"73,004",713,"11,575,012","602,707"
131,124,Cambodia,138535,+10,"3,056",,"135,382",+18,97,,"8,069",178,"3,091,420","180,062"
19,12,Spain,13670037,,"116,899",,"13,466,158",,"86,980",339,"292,600","2,502","471,036,328","10,082,298"
4,,Oceania,13545987,"+1,933","23,196",,"13,189,997",+26,"332,794",158,,,,
132,125,Rwanda,132920,,"1,467",,"131,112",,341,,"9,773",108,"5,882,479","432,520"
64,57,Slovenia,1301000,+573,"6,998",+3,"1,272,410","+3,083","21,592",22,"626,073","3,368","2,803,518","1,349,120"
65,58,Bulgaria,1291377,,"38,097",,"1,249,414",,"3,866",36,"188,671","5,566","10,889,284","1,590,931"
66,59,Lithuania,1286236,+53,"9,473",,"1,269,089",+903,"7,674",7,"483,237","3,559","10,304,413","3,871,354"
5,,Africa,12737692,+10,"258,330",,"12,035,236",+20,"444,126",844,,,,
67,60,Morocco,1271276,,"16,294",,"1,254,498",,484,293,"33,656",431,"12,837,725","339,867"
68,61,Croatia,1262109,+112,"17,542",+16,"1,242,185",+252,"2,382",23,"310,919","4,321","5,416,323","1,334,304"
199,192,Gambia,12586,,372,,"12,189",,25,,"4,919",145,"155,686","60,851"
133,126,Cameroon,123993,,"1,965",,"118,616",,"3,412",13,"4,442",70,"1,751,774","62,762"
69,62,Lebanon,1222224,,"10,744",,"1,087,587",,"123,893",74,"182,835","1,607","4,795,578","717,380"
0,,North America,121084065,,"1,576,959",,"115,946,577","+2,218","3,560,529","9,196",,,,
200,193,Saint Martin,12104,,63,,"1,399",,"10,642",7,"304,656","1,586","112,382","2,828,643"
201,194,Vanuatu,11990,,14,,"11,952",,24,,"37,255",44,"24,976","77,606"
202,195,Greenland,11971,,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810"
70,63,Guatemala,1197058,,"19,994",,"1,148,271",,"28,793",5,"64,413","1,076","6,515,298","350,586"
203,196,Yemen,11945,,"2,159",,"9,124",,662,23,383,69,"329,592","10,579"
